dataset,market,category,position_change_metric,horizon,bottom_quartile_threshold,top_quartile_threshold,top_quartile_n,top_quartile_mean_return,top_quartile_median_return,top_quartile_hit_rate,top_quartile_stdev,bottom_quartile_n,bottom_quartile_mean_return,bottom_quartile_median_return,bottom_quartile_hit_rate,bottom_quartile_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1d_post_release,-1.319377060851014,0.9662109341207593,133,0.0016206965616105175,0.001018020225231675,0.5639097744360902,0.010610232981306965,132,-0.00046136696219980226,0.001221008539297963,0.6136363636363636,0.01689004565276209,0.0020820635238103197,1.2005586125398555,0.2299224636221287
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2d_post_release,-1.319377060851014,0.9662109341207593,133,0.0019071645096241365,0.0029673915024697184,0.5714285714285714,0.013315943001519313,132,0.0018975269452807548,0.0030715086681309955,0.6287878787878788,0.01639015300861637,9.637564343381762e-06,0.00525122476156567,0.9958101480935634
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,3d_post_release,-1.319377060851014,0.9662109341207593,133,0.0034400446368344855,0.004231509130584676,0.6616541353383458,0.016971683684311456,132,0.0028327273228055242,0.003360331279733786,0.5757575757575758,0.023558789437096196,0.0006073173140289613,0.24062088318113953,0.8098489632213361
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1w_post_release,-1.319377060851014,0.9662109341207593,133,0.005400141941185253,0.005181178718158375,0.5864661654135338,0.023271878188503122,132,0.0010950681796896978,0.0039307083543012045,0.5681818181818182,0.029167811785295216,0.004305073761495555,1.3274881933766074,0.18434724294901567
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2w_post_release,-1.319377060851014,0.9662109341207593,133,0.008364544835874137,0.009470395937571263,0.6616541353383458,0.03109817731444439,132,0.002695879720445313,0.008523516037231671,0.6212121212121212,0.03727129250228233,0.005668665115428824,1.3437813771405855,0.1790190932751386
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,4w_post_release,-1.319377060851014,0.9662109341207593,133,0.013679235238730486,0.01611869594417925,0.706766917293233,0.04248895956069639,132,0.010562455103331604,0.01589677172724957,0.6590909090909091,0.051026602062691225,0.0031167801353988826,0.5401213698922899,0.5891133341270256
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,13w_post_release,-1.319377060851014,0.9662109341207593,132,0.040578446469972454,0.0461718921698967,0.7424242424242424,0.07560059258314204,129,0.03769346029419246,0.04655124605732919,0.7596899224806202,0.07724003356950734,0.002884986175779994,0.30487230580665536,0.7604634090230034
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1d_post_release,-1.4176902294088762,0.3142106795495643,133,0.0005031566559343878,0.0006406996295162948,0.5488721804511278,0.009112959903017526,132,0.00019905355072910412,0.0017155020603506488,0.5909090909090909,0.01664343756349074,0.0003041031052052837,0.18429064476726775,0.8537854526294235
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2d_post_release,-1.4176902294088762,0.3142106795495643,133,0.00041988711652831556,0.0009578435269843588,0.5338345864661654,0.011503139478512784,132,0.0031590685930956925,0.0037577275123428233,0.6590909090909091,0.015371768490263282,-0.002739181476567377,-1.64137965065954,0.10071863133554691
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,3d_post_release,-1.4176902294088762,0.3142106795495643,133,0.0011197515184841605,0.0022621757258103337,0.6090225563909775,0.01509594867804338,132,0.0032798263771913892,0.0032901288232993764,0.6060606060606061,0.023212564563221204,-0.0021600748587072287,-0.8972754681924621,0.3695719434573661
