dataset,market,category,position_change_metric,horizon,increase_n,increase_mean_return,increase_median_return,increase_hit_rate,increase_stdev,decrease_n,decrease_mean_return,decrease_median_return,decrease_hit_rate,decrease_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1d_post_release,236,0.0010210227683692796,0.001015028983333166,0.559322033898305,0.00981483887422021,293,7.277658057736438e-05,0.0009836192541532451,0.5733788395904437,0.013424046431084908,0.0009482461877919152,0.9374266614993776,0.3485391318871722
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2d_post_release,236,0.001024525530720782,0.0017456457897648825,0.559322033898305,0.012537740746363104,293,0.0019033735918814268,0.00202389213165155,0.5938566552901023,0.014176586043821281,-0.0008788480611606447,-0.7558312512072957,0.4497503771717247
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,3d_post_release,236,0.0024230321559761724,0.0029099224012391067,0.6228813559322034,0.016309764049910677,293,0.0022170747749927157,0.001446493011772798,0.5426621160409556,0.01921891434804488,0.0002059573809834567,0.1332843546851988,0.8939685003540769
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1w_post_release,236,0.0036351035063926316,0.005057511219714539,0.6059322033898306,0.02268905840290924,293,0.0022439362853145847,0.003226667520847215,0.5836177474402731,0.02440926026227536,0.001391167221078047,0.6776259572022078,0.49800888372438995
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2w_post_release,236,0.0060588963515714675,0.00695600422373166,0.6440677966101694,0.03129476207727118,292,0.005226134163817604,0.008738067791259074,0.6541095890410958,0.031715543761373664,0.0008327621877538636,0.3021815818815994,0.7625136438681369
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,4w_post_release,236,0.009118924008636767,0.015088016779297941,0.6779661016949152,0.05047559673360409,290,0.012596191219660548,0.018436274366370853,0.6931034482758621,0.04292748169512707,-0.003477267211023781,-0.8396630085387511,0.4010973602036522
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,13w_post_release,233,0.033459301772040755,0.04204489495313091,0.7381974248927039,0.073664827168498,283,0.03726808769018077,0.047613786814670656,0.7597173144876325,0.0694132117872153,-0.0038087859181400174,-0.599863487737422,0.5485972177148448
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1d_post_release,181,0.0006143592847645685,0.000876077054501545,0.5580110497237569,0.009298812042209198,348,0.00043415483017796225,0.001024649717833337,0.5718390804597702,0.013128396231796976,0.0001802044545866062,0.18268802527985833,0.8550428120777964
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2d_post_release,181,0.000677715785447827,0.0017191861170664513,0.5524861878453039,0.01197909662633657,348,0.0019448561221416837,0.001814248028375487,0.5919540229885057,0.014173247199488507,-0.0012671403366938568,-1.0825693688533282,0.2789996095093277
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,3d_post_release,181,0.0012837132407011603,0.002369585468095181,0.5911602209944752,0.015611157701236722,348,0.002842202302633139,0.002190068803909373,0.5718390804597702,0.019071826553775713,-0.0015584890619319786,-1.0077510320841323,0.3135739992570193
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1w_post_release,181,0.0025198270325736023,0.0019320868389702817,0.5469613259668509,0.021617973778930138,348,0.0030438766270402652,0.004906386748085412,0.617816091954023,0.024662166829636074,-0.0005240495944666629,-0.25184981351649227,0.8011571523572125
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2w_post_release,181,0.006492013299072814,0.006901480066513699,0.6243093922651933,0.028606536191962,347,0.005132208379462327,0.008754863813229541,0.6628242074927954,0.03294023270633163,0.0013598049196104868,0.4916978728410467,0.6229329422243416
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,4w_post_release,180,0.011368529584890529,0.01607816589917266,0.6833333333333333,0.04268974246151816,346,0.010863081486877287,0.01720995047356788,0.6878612716763006,0.04835319070118835,0.000505448098013242,0.12301744485044477,0.9020932838979814
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,13w_post_release,178,0.0372628708444591,0.04378316215807476,0.7415730337078652,0.07120716332521465,338,0.03464525183104419,0.04591722276617127,0.7544378698224852,0.07146752759871802,0.0026176190134149166,0.3964406275675853,0.6917799995592286
