dataset,dataset_label,player,player_key,target,horizon,winner,combined_source_label,combined_better_side,combined_side_edge_pp,combined_abs_side_edge_pp,combined_hac_p,combined_evidence,best_single_source,best_single_source_label,best_single_better_side,best_single_side_edge_pp,best_single_abs_side_edge_pp,best_single_hac_p,best_single_evidence,combined_minus_best_single_abs_edge_pp,combined_positive_avg_return,combined_negative_avg_return,best_single_positive_avg_return,best_single_negative_avg_return,winner_rank,strongest_abs_edge_pp
legacy,Legacy,Commercial,commercial,NASDAQ-100,13w,single,Combined SP+NQ-VIX,positive,3.249395764006005,3.249395764006005,0.156550433950648,weak/mixed,sp500,S&P 500 only,positive,3.5491598941917077,3.5491598941917077,0.07306046061161658,tentative,-0.2997641301857028,7.567677022751096,4.318281258745091,7.375159603543496,3.8259997093517883,1,3.5491598941917077
legacy,Legacy,Commercial,commercial,NASDAQ-100,1w,tie,Combined SP+NQ-VIX,positive,0.28084619355458557,0.28084619355458557,0.28986825217429896,none,sp500,S&P 500 only,positive,0.3216617165263415,0.3216617165263415,0.18189965196668823,weak/mixed,-0.040815522971755946,0.5967124967238053,0.31586630316921976,0.5897667435166122,0.26810502699027067,2,0.3216617165263415
legacy,Legacy,Commercial,commercial,NASDAQ-100,26w,single,Combined SP+NQ-VIX,positive,5.6703542063285095,5.6703542063285095,0.07564541091211048,tentative,sp500,S&P 500 only,positive,7.040290792274073,7.040290792274073,0.019023862539474752,supported,-1.3699365859455632,14.384461659897669,8.71410745356916,14.585812642044493,7.54552184977042,1,7.040290792274073
legacy,Legacy,Commercial,commercial,NASDAQ-100,4w,tie,Combined SP+NQ-VIX,positive,1.1048130148212199,1.1048130148212199,0.16823876604856508,weak/mixed,sp500,S&P 500 only,positive,1.0635833584094558,1.0635833584094558,0.1277027691383245,weak/mixed,0.041229656411764015,2.398267081764523,1.293454066943303,2.24687227997207,1.1832889215626143,2,1.1048130148212199
legacy,Legacy,Commercial,commercial,S&P 500,13w,single,Combined SP+NQ-VIX,positive,1.9166863875136402,1.9166863875136402,0.18384402464609756,weak/mixed,sp500,S&P 500 only,positive,2.730653374538404,2.730653374538404,0.047364298419723866,supported,-0.8139669870247639,4.836945017968792,2.9202586304551517,5.117282780779027,2.3866294062406226,1,2.730653374538404
legacy,Legacy,Commercial,commercial,S&P 500,1w,tie,Combined SP+NQ-VIX,positive,0.1771954778432385,0.1771954778432385,0.38836580470092846,none,sp500,S&P 500 only,positive,0.2532116017936422,0.2532116017936422,0.172475990399555,weak/mixed,-0.07601612395040372,0.39229714997279613,0.21510167212955764,0.41866358816481525,0.165451986371173,2,0.2532116017936422
legacy,Legacy,Commercial,commercial,S&P 500,26w,single,Combined SP+NQ-VIX,positive,3.96815880058453,3.96815880058453,0.05375078108940165,tentative,sp500,S&P 500 only,positive,5.321241662748146,5.321241662748146,0.009971859449899874,supported,-1.3530828621636157,9.717467802859883,5.749309002275353,10.104574777582492,4.783333114834346,1,5.321241662748146
legacy,Legacy,Commercial,commercial,S&P 500,4w,single,Combined SP+NQ-VIX,positive,0.6214207313213468,0.6214207313213468,0.3028179636270508,none,sp500,S&P 500 only,positive,0.9556898370105988,0.9556898370105988,0.07547452376021616,weak/mixed,-0.33426910568925206,1.52356143648652,0.9021407051651732,1.6562869030413387,0.7005970660307399,1,0.9556898370105988
legacy,Legacy,Noncommercial,noncommercial,NASDAQ-100,13w,single,Combined SP+NQ-VIX,negative,-2.480196770819231,2.480196770819231,0.20701456479929362,weak/mixed,vix_inverse,"VIX only, inverted",negative,-3.2981323959051565,3.2981323959051565,0.07227789742876929,tentative,-0.8179356250859255,4.2196918508089984,6.699888621628229,4.976473086264194,8.27460548216935,1,3.2981323959051565
legacy,Legacy,Noncommercial,noncommercial,NASDAQ-100,1w,tie,Combined SP+NQ-VIX,negative,-0.28448437645831853,0.28448437645831853,0.22673523698783993,none,sp500,S&P 500 only,negative,-0.2729781921144675,0.2729781921144675,0.24096657580082423,none,0.011506184343851034,0.2787678377454534,0.5632522142037719,0.25960555411596653,0.532583746230434,2,0.28448437645831853
legacy,Legacy,Noncommercial,noncommercial,NASDAQ-100,26w,single,Combined SP+NQ-VIX,negative,-5.327607613442883,5.327607613442883,0.057084558305692014,tentative,sp500,S&P 500 only,negative,-6.211824337600933,6.211824337600933,0.0361766361089119,supported,-0.8842167241580503,8.210238223579529,13.537845837022411,7.313434154101997,13.52525849170293,1,6.211824337600933
legacy,Legacy,Noncommercial,noncommercial,NASDAQ-100,4w,combined,Combined SP+NQ-VIX,negative,-1.1021383229171748,1.1021383229171748,0.1266335291661243,weak/mixed,sp500,S&P 500 only,negative,-0.8038045981051338,0.8038045981051338,0.2543128107904603,none,0.298333724812041,1.159836881532612,2.261975204449787,1.2081735233857178,2.0119781214908516,0,1.1021383229171748
legacy,Legacy,Noncommercial,noncommercial,S&P 500,13w,single,Combined SP+NQ-VIX,negative,-1.8131602181124489,1.8131602181124489,0.17636859566590066,weak/mixed,sp500,S&P 500 only,negative,-2.165111396198385,2.165111396198385,0.1093267681862522,weak/mixed,-0.35195117808593634,2.72637101701887,4.539531235131319,2.3969420250764037,4.562053421274789,1,2.165111396198385
legacy,Legacy,Noncommercial,noncommercial,S&P 500,1w,tie,Combined SP+NQ-VIX,negative,-0.2112411056605534,0.2112411056605534,0.24329888559289498,none,sp500,S&P 500 only,negative,-0.2767716786295189,0.2767716786295189,0.12942203087688922,weak/mixed,-0.0655305729689655,0.1789468044917399,0.3901879101522933,0.1285226024342048,0.4052942810637237,2,0.2767716786295189
legacy,Legacy,Noncommercial,noncommercial,S&P 500,26w,single,Combined SP+NQ-VIX,negative,-4.18789651198765,4.18789651198765,0.027712704363358386,supported,sp500,S&P 500 only,negative,-5.150187455700109,5.150187455700109,0.005356249004426017,supported,-0.9622909437124587,5.225834161589236,9.413730673576886,4.397092552371672,9.54728000807178,1,5.150187455700109
