dataset,dataset_label,player,player_key,target,horizon,winner,combined_source_label,combined_better_side,combined_side_edge_pp,combined_abs_side_edge_pp,combined_hac_p,combined_evidence,best_single_source,best_single_source_label,best_single_better_side,best_single_side_edge_pp,best_single_abs_side_edge_pp,best_single_hac_p,best_single_evidence,combined_minus_best_single_abs_edge_pp,combined_positive_avg_return,combined_negative_avg_return,best_single_positive_avg_return,best_single_negative_avg_return,winner_rank,strongest_abs_edge_pp
legacy,Legacy,Commercial,commercial,NASDAQ-100,13w,single,Combined SP+NQ-VIX,positive,3.2041688824411327,3.2041688824411327,0.15698693540312608,weak/mixed,vix_inverse,"VIX only, inverted",positive,3.5350106887692005,3.5350106887692005,0.05584365409937498,tentative,-0.3308418063280678,7.522450141186224,4.318281258745091,8.494718844461595,4.959708155692394,1,3.5350106887692005
legacy,Legacy,Commercial,commercial,NASDAQ-100,1w,tie,Combined SP+NQ-VIX,positive,0.2764578987249378,0.2764578987249378,0.2979006814785613,none,sp500,S&P 500 only,positive,0.31616935941319596,0.31616935941319596,0.19017497974813624,weak/mixed,-0.03971146068825815,0.5967124967238053,0.3202545979988675,0.5897667435166122,0.2735973841034162,2,0.31616935941319596
legacy,Legacy,Commercial,commercial,NASDAQ-100,26w,single,Combined SP+NQ-VIX,positive,5.651786364018296,5.651786364018296,0.07633574653842466,tentative,sp500,S&P 500 only,positive,7.0564423315579585,7.0564423315579585,0.018189456156145974,supported,-1.4046559675396626,14.384461659897669,8.732675295879373,14.600325490190567,7.5438831586326085,1,7.0564423315579585
legacy,Legacy,Commercial,commercial,NASDAQ-100,4w,tie,Combined SP+NQ-VIX,positive,1.1282888724995428,1.1282888724995428,0.15884964762888173,weak/mixed,sp500,S&P 500 only,positive,1.0907493439447289,1.0907493439447289,0.11756223476407093,weak/mixed,0.037539528554813906,2.398267081764523,1.26997820926498,2.24687227997207,1.1561229360273413,2,1.1282888724995428
legacy,Legacy,Commercial,commercial,S&P 500,13w,single,Combined SP+NQ-VIX,positive,1.9236160549602568,1.9236160549602568,0.17773797490988244,weak/mixed,sp500,S&P 500 only,positive,2.7326762300633254,2.7326762300633254,0.04601341707234635,supported,-0.8090601751030686,4.843874685415408,2.9202586304551517,5.119305636303948,2.3866294062406226,1,2.7326762300633254
legacy,Legacy,Commercial,commercial,S&P 500,1w,tie,Combined SP+NQ-VIX,positive,0.1703347473813598,0.1703347473813598,0.406815887573826,none,sp500,S&P 500 only,positive,0.24477873841105746,0.24477873841105746,0.18706854877782456,weak/mixed,-0.07444399102969765,0.39229714997279613,0.22196240259143632,0.41866358816481525,0.1738848497537578,2,0.24477873841105746
legacy,Legacy,Commercial,commercial,S&P 500,26w,single,Combined SP+NQ-VIX,positive,3.9500115790850563,3.9500115790850563,0.05453936248244163,tentative,sp500,S&P 500 only,positive,5.325054439986859,5.325054439986859,0.0096115691994508,supported,-1.3750428609018028,9.717467802859883,5.767456223774826,10.113681303885723,4.788626863898864,1,5.325054439986859
legacy,Legacy,Commercial,commercial,S&P 500,4w,single,Combined SP+NQ-VIX,positive,0.6204907664034562,0.6204907664034562,0.3028138438267551,none,sp500,S&P 500 only,positive,0.9533347628587258,0.9533347628587258,0.07539393051718142,weak/mixed,-0.3328439964552695,1.52356143648652,0.9030706700830637,1.6562869030413387,0.702952140182613,1,0.9533347628587258
legacy,Legacy,Noncommercial,noncommercial,NASDAQ-100,13w,single,Combined SP+NQ-VIX,negative,-2.457667267179273,2.457667267179273,0.2068841619603498,weak/mixed,vix_inverse,"VIX only, inverted",negative,-3.3004042655852865,3.3004042655852865,0.07168424572830415,tentative,-0.8427369984060133,4.2196918508089984,6.677359117988272,4.974201216584064,8.27460548216935,1,3.3004042655852865
legacy,Legacy,Noncommercial,noncommercial,NASDAQ-100,1w,tie,Combined SP+NQ-VIX,negative,-0.29006718808142745,0.29006718808142745,0.21936732018891344,none,sp500,S&P 500 only,negative,-0.27780918681943656,0.27780918681943656,0.2337481642342869,none,0.012258001261990892,0.2787678377454534,0.5688350258268808,0.25960555411596653,0.5374147409354031,2,0.29006718808142745
legacy,Legacy,Noncommercial,noncommercial,NASDAQ-100,26w,single,Combined SP+NQ-VIX,negative,-5.313305477237133,5.313305477237133,0.05681818440059211,tentative,sp500,S&P 500 only,negative,-6.20042889482541,6.20042889482541,0.03606722305795374,supported,-0.8871234175882767,8.210238223579529,13.523543700816662,7.313434154101997,13.513863048927407,1,6.20042889482541
legacy,Legacy,Noncommercial,noncommercial,NASDAQ-100,4w,combined,Combined SP+NQ-VIX,negative,-1.0504567119781592,1.0504567119781592,0.14487521034250553,weak/mixed,sp500,S&P 500 only,negative,-0.7633188948280352,0.7633188948280352,0.2783297337366173,none,0.287137817150124,1.159836881532612,2.2102935935107713,1.2081735233857178,1.971492418213753,0,1.0504567119781592
legacy,Legacy,Noncommercial,noncommercial,S&P 500,13w,single,Combined SP+NQ-VIX,negative,-1.82087334356173,1.82087334356173,0.1722997849684418,weak/mixed,sp500,S&P 500 only,negative,-2.1712122307486568,2.1712122307486568,0.10711425224589202,weak/mixed,-0.35033888718692685,2.72637101701887,4.5472443605806,2.3969420250764037,4.5681542558250605,1,2.1712122307486568
