dataset,market,category,position_change_metric,horizon,bottom_quartile_threshold,top_quartile_threshold,top_quartile_n,top_quartile_mean_return,top_quartile_median_return,top_quartile_hit_rate,top_quartile_stdev,bottom_quartile_n,bottom_quartile_mean_return,bottom_quartile_median_return,bottom_quartile_hit_rate,bottom_quartile_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1d_post_release,-1.3136396593388433,0.9709769333447151,132,0.0016230115716002317,0.0010071806452806031,0.5606060606060606,0.01065061934541405,132,-0.00046136696219980226,0.001221008539297963,0.6136363636363636,0.01689004565276209,0.002084378533800034,1.1993207722846173,0.2304032410586569
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2d_post_release,-1.3136396593388433,0.9709769333447151,132,0.0019992131684602767,0.003105189378507456,0.5757575757575758,0.013324127632873875,132,0.0018975269452807548,0.0030715086681309955,0.6287878787878788,0.01639015300861637,0.00010168622317952188,0.055309425419521364,0.9558919532634107
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,3d_post_release,-1.3136396593388433,0.9709769333447151,132,0.0033475822826768923,0.004155564698605008,0.6590909090909091,0.01700267848974263,132,0.0028327273228055242,0.003360331279733786,0.5757575757575758,0.023558789437096196,0.0005148549598713681,0.20359773962877895,0.838667859662721
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1w_post_release,-1.3136396593388433,0.9709769333447151,132,0.005118526461970694,0.004914186070640092,0.5833333333333334,0.02313192878309053,132,0.0010950681796896978,0.0039307083543012045,0.5681818181818182,0.029167811785295216,0.004023458282280996,1.241734554614272,0.2143345163050127
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2w_post_release,-1.3136396593388433,0.9709769333447151,132,0.008076893938118753,0.008959299811250543,0.6590909090909091,0.031038527974844108,132,0.002695879720445313,0.008523516037231671,0.6212121212121212,0.03727129250228233,0.00538101421767344,1.2746256284401534,0.20244178187035716
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,4w_post_release,-1.3136396593388433,0.9709769333447151,131,0.013312481445186562,0.01611869594417925,0.7022900763358778,0.04255044916804674,132,0.010562455103331604,0.01589677172724957,0.6590909090909091,0.051026602062691225,0.0027500263418549584,0.4748061088544347,0.6349251784202689
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,13w_post_release,-1.3136396593388433,0.9709769333447151,131,0.0412047728085987,0.046200447302772396,0.7480916030534351,0.07554624211647647,129,0.03769346029419246,0.04655124605732919,0.7596899224806202,0.07724003356950734,0.0035113125144062424,0.37050600476398843,0.7110055032573824
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1d_post_release,-1.4154861698776244,0.31469137510897127,132,0.0005000259054424776,0.0005195101431837434,0.5454545454545454,0.009147604268495623,132,0.00019905355072910412,0.0017155020603506488,0.5909090909090909,0.01664343756349074,0.00030097235471337347,0.1820752559031246,0.8555236670662296
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2d_post_release,-1.4154861698776244,0.31469137510897127,132,0.0003971549650908058,0.0009507638906676164,0.5303030303030303,0.011543961999414048,132,0.0031590685930956925,0.0037577275123428233,0.6590909090909091,0.015371768490263282,-0.0027619136280048868,-1.650661089113682,0.09880779733832293
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,3d_post_release,-1.4154861698776244,0.31469137510897127,132,0.0011228918688766538,0.0023158805969527574,0.6060606060606061,0.015153413653887934,132,0.0032798263771913892,0.0032901288232993764,0.6060606060606061,0.023212564563221204,-0.0021569345083147355,-0.8939564689752496,0.37134518255320675
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1w_post_release,-1.4154861698776244,0.31469137510897127,132,0.0018261045942209125,0.0018727703392558137,0.5378787878787878,0.02115485153342296,132,0.0032317891581595494,0.005219285390562489,0.6515151515151515,0.02883867296387524,-0.0014056845639386368,-0.45155032474402235,0.6515929631292139
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2w_post_release,-1.4154861698776244,0.31469137510897127,132,0.00715759303876759,0.008071705790609118,0.6363636363636364,0.02972086102873078,132,0.003668766066016725,0.007862009475766096,0.6363636363636364,0.036540916874077546,0.003488826972750865,0.8510008745134892,0.39476886699640007
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,4w_post_release,-1.4154861698776244,0.31469137510897127,130,0.012522616684566076,0.016329434646131014,0.6846153846153846,0.04267432012341475,132,0.012877773651389826,0.016182682214204713,0.6666666666666666,0.05008591927934244,-0.0003551569668237501,-0.061812733891912504,0.950711962701084
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,13w_post_release,-1.4154861698776244,0.31469137510897127,130,0.03613758159509904,0.04248337275747349,0.7307692307692307,0.07145619462903618,129,0.04547993800998076,0.04890276601749943,0.8062015503875969,0.07316330561571176,-0.009342356414881715,-1.039504026298066,0.29857038650194173
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,1d_post_release,-0.9348360194594756,0.4252654054720759,131,-3.8968648445201814e-05,0.0014687171966489831,0.6030534351145038,0.016496034807240826,132,0.0011235303394989816,0.000896246387684041,0.5378787878787878,0.009722355827847739,-0.0011624989879441834,-0.6955539810360987,0.4867081942266303
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,2d_post_release,-0.9348360194594756,0.4252654054720759,131,0.0011512112306340167,0.002593033849604076,0.5725190839694656,0.015548813353505973,132,0.0029197263930605603,0.0019436764040634547,0.5757575757575758,0.01351265337468301,-0.0017685151624265436,-0.9842094580982499,0.32501253635092503
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,3d_post_release,-0.9348360194594756,0.4252654054720759,131,0.0013379048565222086,0.0044682365616222075,0.5801526717557252,0.022795944712566088,132,0.0037920516649757974,0.003267083232345813,0.6287878787878788,0.016374708967735463,-0.0024541468084535887,-1.002057492600704,0.3163158262404344
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,1w_post_release,-0.9348360194594756,0.4252654054720759,131,0.00013398172014005843,0.0022481034894399343,0.5419847328244275,0.028581966706977546,132,0.0050453877109710174,0.006081748806484044,0.6590909090909091,0.023044089756540254,-0.004911405990830959,-1.5333884922335008,0.12518016244725935
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,2w_post_release,-0.9348360194594756,0.4252654054720759,130,0.0037823861593545773,0.009442823234203424,0.6076923076923076,0.038323707794881236,132,0.006002214511594553,0.00847833898199013,0.6893939393939394,0.03244539764659415,-0.0022198283522399755,-0.5056468465152334,0.6131045886636363
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,4w_post_release,-0.9348360194594756,0.4252654054720759,128,0.013049755500776963,0.018790072427713356,0.71875,0.048510216710966725,132,0.013498655478657392,0.017682705516902875,0.7196969696969697,0.048795871724167605,-0.00044889997788042854,-0.07438109797078918,0.9407071487692595
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,13w_post_release,-0.9348360194594756,0.4252654054720759,126,0.038394018047610695,0.05148841483973543,0.7380952380952381,0.08114958297879103,131,0.04179551756852803,0.046200447302772396,0.8015267175572519,0.0760414702770863,-0.0034014995209173324,-0.34643650578944774,0.7290146940298072
tff_disaggregated,sp500,dealer,net_oi_pct_change,1d_post_release,-1.1228146981709686,1.1693173444725993,132,0.0002484048951416671,0.0014032650176354355,0.553030303030303,0.01778008062777197,131,0.0008820887477642141,0.0011626229102676966,0.5801526717557252,0.010190840145070752,-0.000633683852622547,-0.35492245286503166,0.722647687176909
tff_disaggregated,sp500,dealer,net_oi_pct_change,2d_post_release,-1.1228146981709686,1.1693173444725993,132,0.0018132572128747053,0.0036825372047809557,0.6363636363636364,0.016080922542824228,131,0.0007972880589358844,0.0009893460220886663,0.5419847328244275,0.01359272053098706,0.0010159691539388207,0.5534781341780949,0.5799360492430246
tff_disaggregated,sp500,dealer,net_oi_pct_change,3d_post_release,-1.1228146981709686,1.1693173444725993,132,0.0026095983169563274,0.0032901288232993764,0.5681818181818182,0.023275000934396172,131,0.0012809475427413947,0.0019262894549640919,0.5877862595419847,0.017158753528724126,0.0013286507742149326,0.5271973436879397,0.5980565531207565
tff_disaggregated,sp500,dealer,net_oi_pct_change,1w_post_release,-1.1228146981709686,1.1693173444725993,132,0.00276324495444018,0.005932169993148051,0.5833333333333334,0.029092133987299883,131,0.0007596814636559874,0.001832187658811879,0.5343511450381679,0.022083522666114887,0.0020035634907841927,0.6293633653172157,0.5291111961430548
tff_disaggregated,sp500,dealer,net_oi_pct_change,2w_post_release,-1.1228146981709686,1.1693173444725993,132,0.005525656860973104,0.012760254862054454,0.6666666666666666,0.0399000743385709,131,0.005458780881308285,0.005216995287219417,0.6106870229007634,0.027372246453945075,6.687597966481898e-05,0.015859988669177243,0.9873460904010475
tff_disaggregated,sp500,dealer,net_oi_pct_change,4w_post_release,-1.1228146981709686,1.1693173444725993,132,0.01312644488697597,0.020570334265220147,0.6818181818181818,0.05378875666438116,130,0.010487294384299784,0.015293548491834508,0.6923076923076923,0.04192436467897356,0.0026391505026761852,0.44332739119660536,0.6575289461938937
tff_disaggregated,sp500,dealer,net_oi_pct_change,13w_post_release,-1.1228146981709686,1.1693173444725993,128,0.037723493724258886,0.046437143698801364,0.75,0.07374440230842119,128,0.0351617167072917,0.045763312475738616,0.75,0.0702165936384953,0.002561777016967186,0.2846335603402095,0.7759248968713535
tff_disaggregated,sp500,dealer,long_oi_pct_change,1d_post_release,-0.5218976930857866,0.4945832456281074,132,-0.0005149306885604403,8.531299271063997e-05,0.5151515151515151,0.0164092398750948,132,0.0009155741003349422,0.0014622916284856569,0.6136363636363636,0.012252237759889449,-0.0014305047888953826,-0.8025501378107417,0.42223479811542475
tff_disaggregated,sp500,dealer,long_oi_pct_change,2d_post_release,-0.5218976930857866,0.4945832456281074,132,-0.0006767222681757711,-2.4935337223475074e-05,0.5,0.015962837756963045,132,0.002901029406904613,0.002690847622711212,0.6136363636363636,0.014260760894471362,-0.0035777516750803845,-1.920341152986957,0.05481482141922755
tff_disaggregated,sp500,dealer,long_oi_pct_change,3d_post_release,-0.5218976930857866,0.4945832456281074,132,0.001500058893554834,-8.733410611189152e-05,0.49242424242424243,0.020701222839704266,132,0.0022808632597163007,0.0029413296175295756,0.5984848484848485,0.01843795599250306,-0.0007808043661614668,-0.32359931104548134,0.7462414096315546
tff_disaggregated,sp500,dealer,long_oi_pct_change,1w_post_release,-0.5218976930857866,0.4945832456281074,132,0.000997856975890184,0.0009750326052109237,0.5303030303030303,0.02828540198124977,132,0.003304915476252805,0.0026736189279594758,0.5757575757575758,0.024218448829016765,-0.002307058500362621,-0.7118203647572735,0.4765760203516913
tff_disaggregated,sp500,dealer,long_oi_pct_change,2w_post_release,-0.5218976930857866,0.4945832456281074,132,0.005987640848732693,0.009829778008758838,0.6515151515151515,0.03635690468988332,132,0.005300904772681041,0.00813940141114633,0.6590909090909091,0.035094241793833095,0.0006867360760516522,0.1561402326922358,0.8759224861523884
tff_disaggregated,sp500,dealer,long_oi_pct_change,4w_post_release,-0.5218976930857866,0.4945832456281074,131,0.01379199000796738,0.02020897550245171,0.7099236641221374,0.051260962493418015,131,0.01493009052738957,0.01937576731122448,0.732824427480916,0.05063459317947621,-0.0011381005194221888,-0.1807872588270392,0.8565345643007298
