dataset,market,category,position_change_metric,horizon,increase_n,increase_mean_return,increase_median_return,increase_hit_rate,increase_stdev,decrease_n,decrease_mean_return,decrease_median_return,decrease_hit_rate,decrease_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1d_post_release,236,0.0010210227683692796,0.001015028983333166,0.559322033898305,0.00981483887422021,291,2.189243276571451e-05,0.0009836192541532451,0.570446735395189,0.013442403425482998,0.000999130335603565,0.9848843341733854,0.32468088925713406
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2d_post_release,236,0.001024525530720782,0.0017456457897648825,0.559322033898305,0.012537740746363104,291,0.001795429652744569,0.0017585173130429954,0.5910652920962199,0.014107633465332548,-0.0007709041220237869,-0.6634846762617657,0.5070201904475989
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,3d_post_release,236,0.0024230321559761724,0.0029099224012391067,0.6228813559322034,0.016309764049910677,291,0.002169456536906038,0.001446493011772798,0.5429553264604811,0.019189061610463097,0.00025357561907013437,0.16393818635924856,0.8697798053896633
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1w_post_release,236,0.0036351035063926316,0.005057511219714539,0.6059322033898306,0.02268905840290924,291,0.0021032245338192136,0.003111362239363036,0.5807560137457045,0.024412680755886467,0.001531878972573418,0.7448809053210191,0.45634371939348334
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2w_post_release,236,0.0060588963515714675,0.00695600422373166,0.6440677966101694,0.03129476207727118,290,0.005089430184526828,0.008738067791259074,0.6517241379310345,0.03173512697875709,0.0009694661670446398,0.3511392265756403,0.7254839007103757
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,4w_post_release,235,0.00912349568654898,0.015275268465714475,0.676595744680851,0.050583286625750554,288,0.012599955385088981,0.018436274366370853,0.6909722222222222,0.04306664496737925,-0.0034764596985400013,-0.8351469125641683,0.40363499574355466
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,13w_post_release,232,0.033512642715764374,0.04236736179821299,0.7370689655172413,0.07381959305241789,282,0.03715823535288131,0.04740072821572727,0.7588652482269503,0.06951196517334399,-0.0036455926371169387,-0.5719820925780374,0.5673341065371171
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1d_post_release,181,0.0006143592847645685,0.000876077054501545,0.5580110497237569,0.009298812042209198,346,0.0003934480945883989,0.001024649717833337,0.569364161849711,0.013143615473546168,0.00022091119017616953,0.22349474051625845,0.8231504760775752
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2d_post_release,181,0.000677715785447827,0.0017191861170664513,0.5524861878453039,0.01197909662633657,346,0.0018543106850656573,0.0017653113877531545,0.5895953757225434,0.014115600586151902,-0.0011765948996178303,-1.005718081252484,0.31455120287727684
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,3d_post_release,181,0.0012837132407011603,0.002369585468095181,0.5911602209944752,0.015611157701236722,346,0.0028057668915697216,0.002190068803909373,0.5722543352601156,0.01904695922849217,-0.0015220536508685613,-0.9835124353748682,0.3253552980590991
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1w_post_release,181,0.0025198270325736023,0.0019320868389702817,0.5469613259668509,0.021617973778930138,346,0.0029301562831047117,0.004718425668511772,0.615606936416185,0.02467032016682501,-0.0004103292505311094,-0.1969416069893797,0.8438732335690797
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2w_post_release,180,0.006504219508487647,0.006935384799543698,0.6222222222222222,0.02868585875676335,346,0.005014666996982284,0.008738067791259074,0.661849710982659,0.03291498122663118,0.0014895525115053631,0.5367016518295518,0.5914737148603502
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,4w_post_release,178,0.011320496504839028,0.01607816589917266,0.6797752808988764,0.04292021757634519,345,0.010892058722850116,0.017238733256478955,0.6869565217391305,0.04842041180086163,0.0004284377819889114,0.10347142950121709,0.9175888237171487
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,13w_post_release,177,0.037354275748505986,0.04402496002006817,0.7401129943502824,0.07139869695595388,337,0.03454554502102168,0.04587337677074865,0.7537091988130564,0.07155025159871181,0.0028087307274843043,0.42346965052218183,0.6719526370604517
