market,latest_date,source_latest_date,latest_price,latest_open_interest,latest_noncommercial_net_oi_pct,latest_commercial_net_oi_pct,latest_nonreportable_net_oi_pct,data_csv,correlations_csv,extremes_csv,overlay_png,heatmap_png
nq,2026-09-22,2026-09-22,30732.4,298319,17.54698829105756,-20.897093379905403,3.3504403004837107,cot_legacy_output/nq_legacy_data_2016_2026.csv,cot_legacy_output/nq_legacy_correlations_2016_2026.csv,cot_legacy_output/nq_legacy_extremes_2016_2026.csv,cot_legacy_output/nq_legacy_net_oi_overlay_2016_2026.png,cot_legacy_output/nq_legacy_forward_corr_heatmap_2016_2026.png
sp500,2026-09-22,2026-09-22,7764.64,1903696,-7.074291273396592,1.6398626671485363,5.434481135643506,cot_legacy_output/sp500_legacy_data_2016_2026.csv,cot_legacy_output/sp500_legacy_correlations_2016_2026.csv,cot_legacy_output/sp500_legacy_extremes_2016_2026.csv,cot_legacy_output/sp500_legacy_net_oi_overlay_2016_2026.png,cot_legacy_output/sp500_legacy_forward_corr_heatmap_2016_2026.png
vix,2026-09-22,2026-09-22,14.21,412323,-19.22764434678638,18.70402572740303,0.5236186193833475,cot_legacy_output/vix_legacy_data_2016_2026.csv,cot_legacy_output/vix_legacy_correlations_2016_2026.csv,cot_legacy_output/vix_legacy_extremes_2016_2026.csv,cot_legacy_output/vix_legacy_net_oi_overlay_2016_2026.png,cot_legacy_output/vix_legacy_forward_corr_heatmap_2016_2026.png
rty,2026-09-22,2026-09-22,2889.919921875,415047,-18.258895980455225,16.477651928576766,1.7812440518784618,cot_legacy_output/rty_legacy_data_2016_2026.csv,cot_legacy_output/rty_legacy_correlations_2016_2026.csv,cot_legacy_output/rty_legacy_extremes_2016_2026.csv,cot_legacy_output/rty_legacy_net_oi_overlay_2016_2026.png,cot_legacy_output/rty_legacy_forward_corr_heatmap_2016_2026.png
dow,2026-09-22,2026-09-22,51863.69140625,88087,11.43187984606128,-18.518056012805523,7.0861761667442416,cot_legacy_output/dow_legacy_data_2016_2026.csv,cot_legacy_output/dow_legacy_correlations_2016_2026.csv,cot_legacy_output/dow_legacy_extremes_2016_2026.csv,cot_legacy_output/dow_legacy_net_oi_overlay_2016_2026.png,cot_legacy_output/dow_legacy_forward_corr_heatmap_2016_2026.png
gold,2026-09-22,2026-09-22,4376.39990234375,412800,54.7124515503876,-63.687742248062015,8.975290697674419,cot_legacy_output/gold_legacy_data_2016_2026.csv,cot_legacy_output/gold_legacy_correlations_2016_2026.csv,cot_legacy_output/gold_legacy_extremes_2016_2026.csv,cot_legacy_output/gold_legacy_net_oi_overlay_2016_2026.png,cot_legacy_output/gold_legacy_forward_corr_heatmap_2016_2026.png
