market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
vix,VIX Futures,1w,score_sign,Zero,452,1.703516,-0.925308,45.132743,-6.882162,-39.060972,17.928198,0.095019,1.703516,0.0,,
vix,VIX Futures,1w,score_intensity,Zero,452,1.703516,-0.925308,45.132743,-6.882162,-39.060972,17.928198,0.095019,1.703516,0.0,,
vix,VIX Futures,2w,regime,Mixed,451,3.00233,-0.635386,48.780488,-9.831075,-45.629732,24.068361,0.124742,3.00233,0.0,,
vix,VIX Futures,2w,score_sign,Zero,451,3.00233,-0.635386,48.780488,-9.831075,-45.629732,24.068361,0.124742,3.00233,0.0,,
vix,VIX Futures,2w,score_intensity,Zero,451,3.00233,-0.635386,48.780488,-9.831075,-45.629732,24.068361,0.124742,3.00233,0.0,,
vix,VIX Futures,4w,regime,Mixed,449,6.169189,0.046361,50.111359,-13.198577,-51.038339,42.104227,0.146522,6.169189,0.0,,
vix,VIX Futures,4w,score_sign,Zero,449,6.169189,0.046361,50.111359,-13.198577,-51.038339,42.104227,0.146522,6.169189,0.0,,
vix,VIX Futures,4w,score_intensity,Zero,449,6.169189,0.046361,50.111359,-13.198577,-51.038339,42.104227,0.146522,6.169189,0.0,,
vix,VIX Futures,13w,regime,Mixed,439,10.213157,-2.599278,46.924829,-19.711861,-63.981461,57.453513,0.177764,10.213157,0.0,,
vix,VIX Futures,13w,score_sign,Zero,439,10.213157,-2.599278,46.924829,-19.711861,-63.981461,57.453513,0.177764,10.213157,0.0,,
vix,VIX Futures,13w,score_intensity,Zero,439,10.213157,-2.599278,46.924829,-19.711861,-63.981461,57.453513,0.177764,10.213157,0.0,,
vix,VIX Futures,26w,regime,Mixed,426,10.565226,-2.498992,47.183099,-23.193113,-68.6162,51.639,0.204598,10.565226,0.0,,
vix,VIX Futures,26w,score_sign,Zero,426,10.565226,-2.498992,47.183099,-23.193113,-68.6162,51.639,0.204598,10.565226,0.0,,
vix,VIX Futures,26w,score_intensity,Zero,426,10.565226,-2.498992,47.183099,-23.193113,-68.6162,51.639,0.204598,10.565226,0.0,,
vix,VIX Futures,52w,regime,Mixed,400,15.090032,3.495077,53.25,-27.334815,-74.534635,61.965741,0.243522,15.090032,0.0,,
vix,VIX Futures,52w,score_sign,Zero,400,15.090032,3.495077,53.25,-27.334815,-74.534635,61.965741,0.243522,15.090032,0.0,,
vix,VIX Futures,52w,score_intensity,Zero,400,15.090032,3.495077,53.25,-27.334815,-74.534635,61.965741,0.243522,15.090032,0.0,,
rty,Russell 2000,1d,regime,Mixed,134,0.159519,0.203799,57.462687,-0.377287,-3.325733,1.176098,0.135634,0.159519,0.0,,
rty,Russell 2000,1d,score_sign,Zero,134,0.159519,0.203799,57.462687,-0.377287,-3.325733,1.176098,0.135634,0.159519,0.0,,
rty,Russell 2000,1d,score_intensity,Zero,134,0.159519,0.203799,57.462687,-0.377287,-3.325733,1.176098,0.135634,0.159519,0.0,,
rty,Russell 2000,2d,regime,Mixed,134,0.224568,0.078878,52.238806,-0.632522,-3.862105,1.638629,0.137047,0.224568,0.0,,
rty,Russell 2000,2d,score_sign,Zero,134,0.224568,0.078878,52.238806,-0.632522,-3.862105,1.638629,0.137047,0.224568,0.0,,
rty,Russell 2000,2d,score_intensity,Zero,134,0.224568,0.078878,52.238806,-0.632522,-3.862105,1.638629,0.137047,0.224568,0.0,,
rty,Russell 2000,3d,regime,Mixed,134,0.434468,0.240851,55.223881,-0.816755,-4.916694,1.995248,0.217752,0.434468,0.0,,
rty,Russell 2000,3d,score_sign,Zero,134,0.434468,0.240851,55.223881,-0.816755,-4.916694,1.995248,0.217752,0.434468,0.0,,
rty,Russell 2000,3d,score_intensity,Zero,134,0.434468,0.240851,55.223881,-0.816755,-4.916694,1.995248,0.217752,0.434468,0.0,,
rty,Russell 2000,1w,regime,Mixed,134,0.328114,0.277866,55.970149,-1.369596,-9.69915,2.72941,0.120214,0.328114,0.0,,
rty,Russell 2000,1w,score_sign,Zero,134,0.328114,0.277866,55.970149,-1.369596,-9.69915,2.72941,0.120214,0.328114,0.0,,
rty,Russell 2000,1w,score_intensity,Zero,134,0.328114,0.277866,55.970149,-1.369596,-9.69915,2.72941,0.120214,0.328114,0.0,,
rty,Russell 2000,2w,regime,Mixed,133,0.711384,0.727406,58.646617,-2.097774,-12.977015,3.909112,0.181981,0.711384,0.0,,
rty,Russell 2000,2w,score_sign,Zero,133,0.711384,0.727406,58.646617,-2.097774,-12.977015,3.909112,0.181981,0.711384,0.0,,
rty,Russell 2000,2w,score_intensity,Zero,133,0.711384,0.727406,58.646617,-2.097774,-12.977015,3.909112,0.181981,0.711384,0.0,,
rty,Russell 2000,4w,regime,Mixed,131,1.566178,1.715681,64.885496,-3.081607,-14.403155,5.341887,0.293188,1.566178,0.0,,
rty,Russell 2000,4w,score_sign,Zero,131,1.566178,1.715681,64.885496,-3.081607,-14.403155,5.341887,0.293188,1.566178,0.0,,
rty,Russell 2000,4w,score_intensity,Zero,131,1.566178,1.715681,64.885496,-3.081607,-14.403155,5.341887,0.293188,1.566178,0.0,,
rty,Russell 2000,13w,regime,Mixed,121,4.764801,4.49246,76.033058,-5.597741,-23.704145,8.738302,0.545278,4.764801,0.0,,
rty,Russell 2000,13w,score_sign,Zero,121,4.764801,4.49246,76.033058,-5.597741,-23.704145,8.738302,0.545278,4.764801,0.0,,
rty,Russell 2000,13w,score_intensity,Zero,121,4.764801,4.49246,76.033058,-5.597741,-23.704145,8.738302,0.545278,4.764801,0.0,,
rty,Russell 2000,26w,regime,Mixed,108,8.808373,10.316992,78.703704,-8.268491,-27.683563,11.301382,0.779407,8.808373,0.0,,
rty,Russell 2000,26w,score_sign,Zero,108,8.808373,10.316992,78.703704,-8.268491,-27.683563,11.301382,0.779407,8.808373,0.0,,
