market,latest_date,source_latest_date,latest_price,latest_open_interest,latest_asset_mgr_net,latest_asset_mgr_net_oi_pct,highest_date,highest_asset_mgr_net_oi_pct,lowest_date,lowest_asset_mgr_net_oi_pct,data_csv,correlations_csv,extremes_csv,overlay_png,rebased_png
nq,2026-08-25,2026-08-25,29209.23,322190,74231,23.03951084763649,2024-06-25,34.806356494033366,2018-12-04,-12.56067461949815,cot_exact_output\nq_exact_consolidated_data_2016_2026.csv,cot_exact_output\nq_exact_consolidated_correlations_2016_2026.csv,cot_exact_output\nq_exact_consolidated_extremes_2016_2026.csv,cot_exact_output\nq_exact_consolidated_overlay_2016_2026.png,cot_exact_output\nq_exact_consolidated_rebased_2016_2026.png
sp500,2026-08-25,2026-08-25,7677.28,2074931,954976,46.02447021129859,2024-09-24,52.07135911065751,2016-06-28,5.766192498440887,cot_exact_output\sp500_exact_consolidated_data_2016_2026.csv,cot_exact_output\sp500_exact_consolidated_correlations_2016_2026.csv,cot_exact_output\sp500_exact_consolidated_extremes_2016_2026.csv,cot_exact_output\sp500_exact_consolidated_overlay_2016_2026.png,cot_exact_output\sp500_exact_consolidated_rebased_2016_2026.png
vix,2026-08-25,2026-08-25,15.45,378681,-22888,-6.044137413812681,2020-11-03,34.85027615535283,2024-07-02,-14.242443084411835,cot_exact_output\vix_exact_consolidated_data_2016_2026.csv,cot_exact_output\vix_exact_consolidated_correlations_2016_2026.csv,cot_exact_output\vix_exact_consolidated_extremes_2016_2026.csv,cot_exact_output\vix_exact_consolidated_overlay_2016_2026.png,cot_exact_output\vix_exact_consolidated_rebased_2016_2026.png
rty,2026-08-25,2026-08-25,3010.02001953125,413000,12331,2.9857142857142858,2024-11-12,34.45219467355452,2022-05-10,-23.157106690364206,cot_exact_output\rty_exact_consolidated_data_2016_2026.csv,cot_exact_output\rty_exact_consolidated_correlations_2016_2026.csv,cot_exact_output\rty_exact_consolidated_extremes_2016_2026.csv,cot_exact_output\rty_exact_consolidated_overlay_2016_2026.png,cot_exact_output\rty_exact_consolidated_rebased_2016_2026.png
dow,2026-08-25,2026-08-25,53577.3984375,88454,5512,6.23148755285233,2019-07-16,39.09922071546911,2022-05-24,-18.63647313900265,cot_exact_output\dow_exact_consolidated_data_2016_2026.csv,cot_exact_output\dow_exact_consolidated_correlations_2016_2026.csv,cot_exact_output\dow_exact_consolidated_extremes_2016_2026.csv,cot_exact_output\dow_exact_consolidated_overlay_2016_2026.png,cot_exact_output\dow_exact_consolidated_rebased_2016_2026.png
