avg_adverse_move,avg_directional_return,directional_coverage_pct,directional_hit_rate,directional_n,drift_adjusted_accuracy_pct,drift_adjusted_n,edge_hac_estimable,edge_hac_p,edge_hac_t,evidence_grade,evidence_reason,hac_lags,horizon,market,model,negative_avg_return,negative_n,neutral_avg_return,neutral_n,observations,path_utility,pearson_r,positive_avg_return,positive_minus_negative,positive_n,score_hac_estimable,score_hac_p,score_hac_t,score_slope_pp_per_unit,spearman_r,stability_subperiods,status,subperiod_min_abs_spearman,subperiod_sign_agreement_pct,worst_adverse_move
,,0.0,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,26,26w,dow,old_tff,,0,5.002818752232816,427,427,,nan,,,0,False,,,,nan,0,exploratory_release_aligned_hac,,,
,,0.0,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,26,26w,dow,old_legacy,,0,5.002818752232816,427,427,,nan,,,0,False,,,,nan,0,exploratory_release_aligned_hac,,,
-6.285140590394098,5.526299954393972,62.06088992974239,74.71698113207546,265,53.71900826446281,242,True,0.07681910005515807,1.7694482475583106,Tentative,positive but not fully supported,26,26w,dow,new_structural,0.5064429285815287,9,4.090235472682363,162,427,3.3265007477560373,0.21015403672361443,5.73838857137358,5.231945642792051,256,True,0.19819949814528082,1.2866982073874431,4.257125558247231,0.22001848768619292,3,exploratory_release_aligned_hac,0.2865867277765468,100.0,-35.49792410916407
-6.172551410281683,5.69510473183395,58.31381733021077,75.1004016064257,249,54.62555066079295,227,True,0.004535699707875513,2.83828265781526,Tentative,positive but not fully supported,26,26w,dow,new_structural_tactical,-3.3499543395997637,6,4.260235848606496,178,427,3.534711738235361,0.1679721668360081,5.753009679790351,9.102964019390114,243,True,0.30652157170933075,1.0225480737319685,3.705331652395468,0.16355602146575152,3,exploratory_release_aligned_hac,0.15906934248334376,100.0,-35.49792410916407
-3.865410195623437,9.371068349360055,52.94117647058824,100.0,18,0.0,6,False,,,Weak/Mixed,directional edge HAC not estimable; directional sample 18<20,26,26w,dow,new_release_decision,,0,10.986559200510936,16,34,8.018174780891853,-0.14528747133412656,9.371068349360055,,18,True,0.30101724228790755,-1.034254413231574,-1.8501479943441883,-0.19422127504818326,3,exploratory_release_aligned_hac,0.009111640951564104,100.0,-6.792287209405091
,,,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,1,1w,gold,old_tff,,0,,0,0,,,,,0,False,,,,,0,exploratory_release_aligned_hac,,,
,,0.0,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,1,1w,gold,old_legacy,,0,0.3127683734023943,453,453,,nan,,,0,False,,,,nan,0,exploratory_release_aligned_hac,,,
-1.348915370633868,-0.18414998785979364,70.41942604856513,46.08150470219436,319,47.682119205298015,302,True,0.5068191930151561,-0.6637986450611293,Weak/Mixed,evidence thresholds not met,1,1w,gold,new_structural,0.45153960873189636,204,0.12089372325332104,134,453,-0.6562703675816474,-0.052219522667011076,0.29017594829593657,-0.1613636604359598,115,True,0.2193168889759279,-1.2283465884816132,-0.19167013957677606,-0.06627778260279962,3,exploratory_release_aligned_hac,0.017612527169071253,66.66666666666666,-11.87331536388141
-1.4256507082574674,-0.27081353321248136,63.796909492273734,44.636678200692046,289,46.01449275362319,276,True,0.24894015937556016,-1.152927461394846,Weak/Mixed,evidence thresholds not met,1,1w,gold,new_structural_tactical,0.568510215696077,187,0.04467294865462738,164,453,-0.7697912811025949,-0.05777696383491646,0.2749637180074441,-0.29354649768863283,102,True,0.20192051836900635,-1.2760990189584542,-0.21493588434578206,-0.06078725481846956,3,exploratory_release_aligned_hac,0.048140570032598376,66.66666666666666,-11.87331536388141
-1.6238955824121883,-0.378634228713815,32.407407407407405,48.57142857142857,35,48.148148148148145,27,True,0.5571368851279472,-0.5870994973742654,Weak/Mixed,evidence thresholds not met,1,1w,gold,new_release_decision,0.40297693470307994,31,0.9136375831476549,73,108,-0.9469976825580809,0.07753331552363033,-0.18997825729701323,-0.5929551920000932,4,True,0.40880790147776414,0.8259932841580212,0.6025226972473382,0.013332767253751921,3,exploratory_release_aligned_hac,0.04950607420545205,66.66666666666666,-7.201600355634574
,,,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,4,4w,gold,old_tff,,0,,0,0,,,,,0,False,,,,,0,exploratory_release_aligned_hac,,,
,,0.0,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,4,4w,gold,old_legacy,,0,1.2177905872820671,450,450,,nan,,,0,False,,,,nan,0,exploratory_release_aligned_hac,,,
-3.6171611912358834,-0.9084623078219995,70.22222222222221,43.35443037974683,316,50.50167224080268,299,True,0.197647171472426,-1.2882838539525778,Contradictory,statistically adverse sign,4,4w,gold,new_structural,1.9073797310217504,201,0.5098000125219279,134,450,-2.1744687247545587,-0.15875454320656596,0.837471623161913,-1.0699081078598374,115,True,0.034042970821832504,-2.1195623451774313,-1.1166336206849485,-0.15029875220512662,3,exploratory_release_aligned_hac,0.1810150816520332,66.66666666666666,-23.27090673094752
-3.8024567608772335,-1.0756568655587881,63.55555555555556,41.95804195804196,286,49.45054945054945,273,True,0.14482354327215546,-1.4580616773391208,Contradictory,statistically adverse sign,4,4w,gold,new_structural_tactical,2.2073587132326087,184,0.264241593641118,164,450,-2.40651673186582,-0.14959776881111664,0.9658445067155561,-1.2415142065170526,102,True,0.055822996175904985,-1.9124149170034521,-1.065502061165274,-0.1366226876992075,3,exploratory_release_aligned_hac,0.13353468636446347,66.66666666666666,-23.27090673094752
-4.45538917255658,-1.5894662833952278,33.33333333333333,42.857142857142854,35,59.25925925925925,27,True,0.43377857943848774,-0.7827420914019555,Weak/Mixed,evidence thresholds not met,4,4w,gold,new_release_decision,1.9036668198038762,31,4.03730640893939,70,105,-3.148852493790031,0.11289661504278378,0.845587873771797,-1.0580789460320792,4,True,0.4196767783384001,0.8069821306821439,1.5924537446185094,0.07823461414309832,3,exploratory_release_aligned_hac,0.011872502241641067,66.66666666666666,-14.613123904077453
,,,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,13,13w,gold,old_tff,,0,,0,0,,,,,0,False,,,,,0,exploratory_release_aligned_hac,,,
,,0.0,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,13,13w,gold,old_legacy,,0,3.9212640947702178,440,440,,nan,,,0,False,,,,nan,0,exploratory_release_aligned_hac,,,
-8.204240837151252,-2.879574922976807,69.54545454545455,40.19607843137255,306,47.75086505190311,289,True,0.18237432327907488,-1.3334800343176332,Contradictory,statistically adverse sign,13,13w,gold,new_structural,6.429048082556343,191,1.123953437263252,134,440,-5.751059215979745,-0.23969268852119402,3.0156370203248577,-3.4134110622314853,115,True,0.06077708093482725,-1.875113716459023,-3.1999033434141535,-0.2481955304897088,3,exploratory_release_aligned_hac,0.26007429846944186,66.66666666666666,-33.55431670935663
-8.531728263841604,-3.1389871990533567,62.727272727272734,39.85507246376812,276,46.7680608365019,263,True,0.16920127536498114,-1.374774792493488,Contradictory,statistically adverse sign,13,13w,gold,new_structural_tactical,6.994807810887121,174,0.9605094539567343,164,440,-6.125092091397917,-0.23858143700239592,3.438589138780712,-3.5562186721064086,102,True,0.07287649227439423,-1.7936034075392464,-3.210468683191846,-0.23608925603505945,3,exploratory_release_aligned_hac,0.22430031569679518,66.66666666666666,-33.55431670935663
-13.661737531124986,-10.089367538884229,28.421052631578945,29.629629629629626,27,26.31578947368421,19,True,0.0013036576162140572,-3.215173369535032,Contradictory,statistically adverse sign,13,13w,gold,new_release_decision,12.65698301964417,23,10.269398814660159,68,95,-14.870975674777974,-0.3115710869047641,4.674421475485435,-7.9825615441587345,4,True,0.003526612696002207,-2.9176665380640823,-8.239659413870402,-0.33168169950133797,3,exploratory_release_aligned_hac,0.18211264537056682,100.0,-30.458459047759213
,,,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,26,26w,gold,old_tff,,0,,0,0,,,,,0,False,,,,,0,exploratory_release_aligned_hac,,,
,,0.0,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,26,26w,gold,old_legacy,,0,8.660818096068652,427,427,,nan,,,0,False,,,,nan,0,exploratory_release_aligned_hac,,,
-13.679848720706913,-4.813466862358341,69.78922716627635,43.95973154362416,298,50.88967971530249,281,True,0.274901680062019,-1.0918439895761871,Weak/Mixed,evidence thresholds not met,26,26w,gold,new_structural,12.580202498560894,183,4.094793314192347,129,427,-9.60141391460576,-0.22879654996369564,7.545773323946593,-5.034429174614301,115,True,0.12184112935768206,-1.547091723741828,-4.50505722246743,-0.22475103181574227,3,exploratory_release_aligned_hac,0.23573413249862252,66.66666666666666,-59.52009598080383
-14.108457014379686,-5.189116344290469,63.46604215456675,43.91143911439114,271,50.3875968992248,258,True,0.2675059045657188,-1.108824487379361,Weak/Mixed,evidence thresholds not met,26,26w,gold,new_structural_tactical,13.246008940441275,169,4.020954067018466,156,427,-10.12707629932336,-0.2102725356297658,8.160048839528018,-5.0859601009132565,102,True,0.1733235697183386,-1.3616018543725419,-4.1748005233676695,-0.18368167515111147,3,exploratory_release_aligned_hac,0.19799651074332464,66.66666666666666,-59.52009598080383
-26.54950032150574,-18.556160090377535,25.555555555555554,17.391304347826086,23,13.333333333333334,15,False,,,Contradictory,directional edge HAC not estimable,26,26w,gold,new_release_decision,26.023251188513928,19,18.915812565998742,67,90,-27.84848520290454,-0.28701088089921944,16.912522625770332,-9.110728562743596,4,True,0.031882613376410567,-2.145879254025416,-12.134307666164995,-0.27339013728489253,3,exploratory_release_aligned_hac,0.09468491789435877,66.66666666666666,-59.42446043165466
-1.4633202030678658,0.2608337761671375,70.19867549668875,54.088050314465406,318,52.64900662251656,302,True,0.40873570375138507,0.826120563590911,Weak/Mixed,evidence thresholds not met,1,1w,nq,old_tff,0.23847271316429208,110,0.3030739633242236,135,453,-0.2513282949066155,0.03593172824425031,0.5248900926404896,0.2864173794761975,208,True,0.41620417532031334,0.8130242142104291,0.07473819244892861,0.0392017488703791,3,exploratory_release_aligned_hac,0.1286603413530521,66.66666666666666,-10.043638529440011
-1.6343154704123957,0.10629257863202353,44.5916114790287,51.98019801980198,202,52.38095238095239,189,True,0.7551432246437807,0.31186486596359064,Weak/Mixed,evidence thresholds not met,1,1w,nq,old_legacy,0.2633089461740749,88,0.4323133360787181,251,453,-0.4657178360123149,0.02401890544172488,0.39159901883322223,0.12829007265914733,114,True,0.5595612865516626,0.5834932695735361,0.06733460646416924,0.018087963180384956,3,exploratory_release_aligned_hac,0.029745722316827178,66.66666666666666,-10.043638529440011
-1.405263666999504,0.4089466878546078,56.95364238410596,58.139534883720934,258,52.78969957081545,233,True,0.6326632651480597,0.47798165069922693,Weak/Mixed,evidence thresholds not met,1,1w,nq,new_structural,0.39786082063753664,45,0.17953027406254882,195,453,-0.08289559559521859,0.04056607038004347,0.5793989783811172,0.18153815774358056,213,True,0.3171151280301581,1.0004038077107285,0.2566338311889088,0.050377063290842676,3,exploratory_release_aligned_hac,0.005254703112136727,100.0,-8.315440882128167
