feature,target,n,beta,p_hac_incremental,r2_full,r2_baseline,delta_r2_in,oos_r2_base,oos_r2_full,delta_oos_r2,full_pred_spear,base_pred_spear
net_liquidity_13w_change,SPX_13W,141,1.3385146977271634,0.0192574750802453,0.2504169068536749,0.1984084281639655,0.0520084786897093,0.2713582328215782,0.4364831327130515,0.1651248998914732,0.6165810933252794,0.4077318030806402
net_liquidity_13w_change,SPX_26W,128,2.331726503158927,0.0013137851890334,0.3402754227800953,0.2364360203232799,0.1038394024568154,-0.2852920433168298,-1.3064654910544191,-1.0211734477375891,0.2890688259109311,0.2451417004048583
net_liquidity_13w_change,NQ_13W,141,2.2260006943095862,0.0003653471472812,0.3889356680450286,0.3168879189224997,0.0720477491225289,0.3609684110562768,0.5026439947182997,0.1416755836620228,0.592721232256116,0.4252491694352159
net_liquidity_13w_change,NQ_26W,128,2.6092994600935264,0.007589814491606,0.3562192613634257,0.2697590176066786,0.0864602437567471,-0.0968291540813512,-1.7067978899265333,-1.609968735845182,0.3870445344129554,0.5269230769230769
