feature,target,n,pearson,spearman,hac_p,oos_r2,oos_pred_spearman,era_23_24_rho,era_25_26_rho,spearman_q_global,hac_q_global
liquidity_score,SPX_1W,167,-0.0320022876899686,-0.0159929813305745,0.6513885589596378,-0.0078593472369439,-0.1466063348416289,0.0941222566282078,-0.0985733828415087,0.9570288920813552,0.9492845975176986
liquidity_score,SPX_2W,166,-0.0482389347728665,-0.0456874065805442,0.54171418665013,0.0041758729412549,0.0980072028811524,0.0680231387518847,-0.1407512402551382,0.9570288920813552,0.9492845975176986
liquidity_score,SPX_4W,164,-0.0534993274628845,-0.036559544950932,0.6047305659574747,0.0060752877710145,0.1779111644657862,0.1344463732803251,-0.1901916609527541,0.9570288920813552,0.9492845975176986
liquidity_score,SPX_13W,154,0.0011522480471354,0.0230102787240429,0.9925303652080232,-0.0022762663649065,-0.0270582793709528,0.086296874746191,-0.0569811563444594,0.9570288920813552,0.9925303652080232
liquidity_score,SPX_26W,141,0.057617022378946,0.0924655298445773,0.5622435211284675,-0.0095487148674366,-0.3909694956206584,0.0059860362101658,0.2430157802454705,0.9570288920813552,0.9492845975176986
liquidity_score,NQ_1W,167,-0.0229485485349578,-0.0083713865543799,0.7401921763572381,-0.0007999941031906,-0.1033484162895927,0.0644859355367866,-0.0640218878248974,0.9570288920813552,0.9492845975176986
liquidity_score,NQ_2W,166,-0.0478125845943721,-0.043719818011184,0.5347580422163587,-0.0056612666123845,0.0329891956782713,0.0315736200830748,-0.0929027032499747,0.9570288920813552,0.9492845975176986
liquidity_score,NQ_4W,164,-0.0147128983023455,-0.0224082967694859,0.8784152324760797,-0.0007125341535854,0.0921488595438175,0.0911074711187242,-0.1274583428565209,0.9570288920813552,0.9641142795469168
liquidity_score,NQ_13W,154,0.0054592570035661,0.0310177111459325,0.9566771691693178,-0.0003273932448584,0.0003469010175763,0.060491616829276,-0.0291980191652196,0.9570288920813552,0.988110089247188
liquidity_score,NQ_26W,141,0.0647550585714743,0.1192089978263855,0.5060789207731686,-0.0036453377152381,-0.3438538205980066,-0.0134196048129718,0.2586791350087669,0.9570288920813552,0.9492845975176986
